Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Man,33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.00,3,5,5,5,5,5,4
Annat,75,77,10,100,83,38,100,12,2,62,70,84,39,92,63,100,76,20,18,1,2,2,12,31,50,63,63,58.67,2,3,5,3,4,3,4
Man,21,23,32,45,25,49,36,62,42,33,47,51,31,60,66,100,59,84,66,0,15,60,47,53,11,63,54,42.67,3,2,3,2,2,2,2
Man,32,85,0,50,90,90,51,0,0,100,0,5,80,50,100,50,50,50,100,75,100,100,100,100,15,65,0,26.67,1,5,3,5,3,5,1
Woman,29,79,6,58,72,49,25,77,65,65,63,52,48,90,84,65,74,65,65,38,47,59,33,50,61,31,38,43.33,2,2,2,3,3,1,2
Woman,48,87,94,33,79,80,14,77,33,84,25,29,77,33,75,36,15,14,19,91,92,96,48,48,17,29,18,21.33,2,4,2,5,2,2,2
Man,28,35,47,54,58,72,91,61,74,52,61,59,58,57,54,61,63,52,55,58,74,72,72,31,64,61,69,64.67,2,1,3,3,3,3,2
Woman,21,33,85,56,63,100,13,100,19,79,37,31,25,57,100,12,24,62,100,21,100,100,31,100,15,2,8,8.33,3,3,2,5,4,4,3
Man,32,62,10,68,14,30,23,48,31,27,91,84,63,45,33,43,43,41,66,9,16,20,21,23,62,59,51,57.33,2,4,2,4,3,2,1
Man,34,14,27,37,57,59,32,27,52,45,29,100,74,33,50,57,25,96,43,59,23,35,69,94,68,31,72,57.00,1,2,3,4,4,3,4
Man,36,14,6,5,13,9,18,36,71,7,46,38,6,26,15,20,24,1,8,3,3,56,7,3,70,74,74,72.67,3,1,3,1,4,1,4
Woman,45,46,47,57,59,62,61,63,56,36,51,56,58,60,58,59,55,55,57,51,55,57,57,52,44,73,55,57.33,3,3,3,3,3,3,3
